id,key,value,type
27777530,source,PGS,regular
27777531,source,PGS,regular
27777533,source,PGS,regular
27777534,source,PGS,regular
27777535,source,PGS,regular
27777551,source,PGS,regular
27777561,source,PGS,regular
27777576,source,PGS,regular
27777591,source,PGS,regular
27777607,source,PGS,regular
27777621,source,PGS,regular
27777631,source,PGS,regular
27777634,source,PGS,regular
27777640,source,PGS,regular
27777643,source,PGS,regular
27777648,source,PGS,regular
27777664,source,PGS,regular
27777677,source,PGS,regular
27777693,source,PGS,regular
27777708,source,PGS,regular
27777711,source,PGS,regular
27777716,source,PGS,regular
27777725,source,PGS,regular
27777728,source,PGS,regular
27777733,source,PGS,regular
27777735,source,PGS,regular
27777737,source,PGS,regular
27777738,source,PGS,regular
27777741,source,PGS,regular
27777743,source,PGS,regular
27777745,source,PGS,regular
27777747,source,PGS,regular
27777751,source,PGS,regular
27777753,source,PGS,regular
27777763,source,PGS,regular
27777766,source,PGS,regular
27777773,source,PGS,regular
27777778,source,PGS,regular
27777812,source,PGS,regular
27777819,source,PGS,regular
27777824,source,PGS,regular
27777834,source,PGS,regular
27777841,source,PGS,regular
27777853,source,PGS,regular
27777939,source,PGS,regular
27777942,source,PGS,regular
27777947,source,PGS,regular
27777950,source,PGS,regular
27777954,source,PGS,regular
27777956,source,PGS,regular
27777960,source,PGS,regular
27777964,source,PGS,regular
27777978,source,PGS,regular
27777981,source,PGS,regular
27777984,source,PGS,regular
27777987,source,PGS,regular
27777996,source,PGS,regular
27778001,source,PGS,regular
27778009,source,PGS,regular
27778018,source,PGS,regular
27778030,source,PGS,regular
27778037,source,PGS,regular
27778053,source,PGS,regular
27778066,source,PGS,regular
27778071,source,PGS,regular
27778080,source,PGS,regular
27778090,source,PGS,regular
27778103,source,PGS,regular
27778110,source,PGS,regular
27778119,source,PGS,regular
27778125,source,PGS,regular
27778128,source,PGS,regular
27778129,source,PGS,regular
27778140,source,PGS,regular
27778144,source,PGS,regular
27778146,source,PGS,regular
27778155,source,PGS,regular
27778161,source,PGS,regular
27778164,source,PGS,regular
27778167,source,PGS,regular
27778169,source,PGS,regular
27778175,source,PGS,regular
27778177,source,PGS,regular
27778179,source,PGS,regular
27778185,source,PGS,regular
27778186,source,PGS,regular
27778187,source,PGS,regular
27778188,source,PGS,regular
27778189,source,PGS,regular
27778190,source,PGS,regular
27778196,source,PGS,regular
27778197,source,PGS,regular
27778198,source,PGS,regular
27778203,source,PGS,regular
27778204,source,PGS,regular
27778206,source,PGS,regular
27778207,source,PGS,regular
27778208,source,PGS,regular
27778209,source,PGS,regular
27778210,source,PGS,regular
27778214,source,PGS,regular
27778217,source,PGS,regular
27778219,source,PGS,regular
27778220,source,PGS,regular
27778231,source,PGS,regular
27778235,source,PGS,regular
27778237,source,PGS,regular
27778240,source,PGS,regular
27778244,source,PGS,regular
27778245,source,PGS,regular
27778251,source,PGS,regular
27778474,source,PGS,regular
27778522,source,PGS,regular
27778610,source,PGS,regular
